Url,Status,Old Site,Old Site Unique, New Site, New Site Unique, Match
http://178.128.58.116/index.php/Copyright_notice,404,0,0
/Lobby_Groups,200,32,32,32,32,true
/Imperial_Tobacco,200,102,87,102,87,true
/Think_Tanks,200,176,140,175,139,false
/EFFAT,200,38,20,20,20,false
/Japan_Tobacco_International,200,14,12,67,57,false
/Lobbying_Decision_Makers,200,4,4,4,4,true
/E-Cigarettes:_Imperial_Tobacco,200,190,129,138,130,false
/Consumer_Choice_Center,200,29,27,29,27,true
/Crime_Stoppers_International,200,17,14,14,14,false
/Fontem_Ventures,200,14,13,14,13,true
/Adam_Smith_Institute,200,22,19,21,18,false
/Philip_Morris,200,72,64,129,112,false
/E-Cigarettes:_Japan_Tobacco_International,200,72,44,72,44,true
/Institute_of_Economic_Affairs,200,67,56,67,56,true
/Alison_Cooper,200,12,11,12,11,true
/Unite,200,8,7,7,7,false
/Michael_Prideaux,200,3,1,3,1,true
/American_European_Community_Association,200,28,27,28,27,true
/WHO_Definitions_of_Tobacco_Industry_Tactics,200,3,2,2,2,false
/Roberto_Ascoli,200,2,1,1,1,false
/Japan_Tobacco_Group,200,3,3,3,3,true
/Jeff_Stier,200,13,11,11,11,false
https://tobaccotactics.org/wiki/Imperial-Brands,404,0,0
/Chile-Country_Profile,200,41,36,41,36,true
/ECLT,200,66,50,66,50,true
https://tobaccotactics.org/wiki/National-Federation-of-Retail-Newsagents,404,0,0
/Next_Generation_Products:_Imperial_Tobacco,200,31,24,31,24,true
/Gallaher,200,2,2,2,2,true
?title=Roberto_Ascoli&amp;oldid=23687,200,2,1,0,0,false
/UNITAB,200,38,26,26,26,false
/Transport_and_General_Workers_Union,200,6,5,6,5,true
/Anti-Counterfeiting_Group,200,22,14,22,14,true
/E-Cigarettes:_Lorillard,200,7,5,7,5,true
/Sir_David_Nicolson,200,2,2,2,2,true
?title=Imperial_Brands&amp;redirect=no,200,102,87,0,0,false
/Mark_Littlewood,200,25,25,25,25,true
/Drago_Azinovic,200,6,3,6,3,true
/Petrol_Retailers_Association,200,23,21,20,20,false
/Gareth_Davis,200,9,9,9,9,true
/Fetratab,200,29,17,29,17,true
/International_Tobacco_Growers_Association,200,29,22,29,22,true
/Harm_Reduction,200,4,4,4,4,true
/Philip_Morris_International,200,72,64,129,112,false
/Industry_Arguments_Against_Plain_Packaging,200,36,30,36,30,true
/Kangaroo_Group,200,11,9,9,9,false
/Framework_Convention_on_Tobacco_Control,200,17,9,11,11,false
/Confederation_of_European_Community_Cigarette_Manufacturers,200,20,20,20,20,true
https://tobaccotactics.org/wiki/Special:Categories,404,0,0
/Arthur_van_Benthem,200,4,3,4,3,true
/Titus_Wouda_Kuipers,200,6,6,6,6,true
https://tobaccotactics.org/wiki/Federation-of-Indian-Chambers-of-Commerce-%26-Industry,404,0,0
/Carlo_Sacchetto,200,5,5,5,5,true
http://178.128.58.116/index.php?title=Japan_Tobacco&amp;action=edit&amp;redlink=1,404,0,0
https://tobaccotactics.org/wiki/E-Cigarettes:-Imperial%27s-Blu,404,0,0
/Atlas_Network,200,94,72,93,72,false
/Imperial,200,102,87,18,13,false
/Ken_Burnett,200,1,1,1,1,true
/Swedish_Match,200,58,51,51,51,false
/Associated_Chambers_of_Commerce_and_Industry_of_India,200,32,26,32,26,true
/Philip_Morris_USA,200,5,5,5,5,true
/Progressive_Vision,200,13,12,12,12,false
/Retailers_Against_Smuggling,200,15,10,10,10,false
/Smokeless_Tobacco,200,11,11,11,11,true
/Front_Groups,200,3,3,3,3,true
/E-Cigarettes:_Philip_Morris_International,200,55,41,55,41,true
/Imperial_and_Gallaher_Involvement_in_Tobacco_Smuggling,200,18,13,18,13,true
/Plain_Packaging,200,13,7,5,5,false
?title=Ken_Burnett&amp;oldid=23488,200,1,1,0,0,false
https://tobaccotactics.org/wiki/Tobacco-Workers%E2%80%99-Alliance,404,0,0
/JUUL_Labs,200,149,111,149,111,true
/Tobacco_Industry_Hospitality_for_UK_Politicians,200,21,19,21,19,true
/Mark_Williamson,200,4,4,4,4,true
/Snus,200,13,11,13,11,true
/Vigilant_Communication,200,4,4,4,4,true
https://tobaccotactics.org/wiki/Tobacco-Manufacturers%27-Association,404,0,0
https://tobaccotactics.org/wiki/Category:Next-Generation-Products,404,0,0
?title=Michael_Prideaux&amp;oldid=23359,200,3,1,0,0,false
?title=Crime_Stoppers_International&amp;oldid=23404,200,17,14,0,0,false
https://tobaccotactics.org/wiki/Andr%C3%A9-Calantzopoulos,404,0,0
/Confederation_of_British_Industry,200,20,14,20,15,true
/British_American_Tobacco,200,60,51,57,50,false
/Zambia-_Country_Profile,200,39,31,32,32,false
/Kantar,200,23,14,14,14,false
https://tobaccotactics.org/wiki/Category:Plain-Packaging,404,0,0
/Sue_Clark,200,6,4,4,4,false
/TRACIT,200,70,66,70,64,true
?title=Ken_Burnett&amp;action=edit,200,1,1,0,0,false
/Professor_Robert_Eccles,200,21,10,18,10,false
/Industry_Interference_and_the_2001_EU_Tobacco_Products_Directive,200,4,2,4,3,true
https://tobaccotactics.org/wiki/Category:Smuggling,404,0,0
/Contact_Us,200,0,0,0,0,true
/Heated_Tobacco_Products,200,73,58,73,58,true
/Tobacco_Control_Research_Group:_Peer-Reviewed_Research,200,0,0,0,0,true
/About_Us,200,9,9,9,9,true
https://tobaccotactics.org/wiki/Fernando-Dom%C3%ADnguez,404,0,0
/National_Center_for_Public_Policy_Research,200,11,10,11,10,true
/Chris_Argent,200,0,0,0,0,true
https://tobaccotactics.org/wiki/Help:Contents,404,0,0
/JTI,200,14,12,10,10,false
/E-Cigarettes:_British_American_Tobacco,200,184,116,182,117,false
/Helen_Clatworthy,200,3,2,2,2,false
/Yoji_Wakui,200,7,7,7,7,true
/Foundation_for_a_Smoke-Free_World_Grantees,200,1,1,14,9,false
https://tobaccotactics.org/wiki/Category:Tobacco-Companies,404,0,0
/Reviti,200,13,11,12,11,false
/Global_Tobacco_and_Nicotine_Forum,200,9,7,7,7,false
?title=Category:Imperial_Tobacco&amp;action=edit&amp;redlink=1,200,0,0,0,0,true
/E-cigarettes,200,95,78,95,78,true
http://178.128.58.116/index.php?title=Special:RecentChanges&amp;feed=atom,404,0,0
/Ghana-Country_Profile,200,22,14,14,14,false
https://tobaccotactics.org/wiki/Category:Tobacco-Products-Directive,404,0,0
/Beverley_Spencer-Obatoyinbo,200,14,11,14,11,true
https://tobaccotactics.org/wiki/Digital-Coding-%26-Tracking-Association-(DCTA),404,0,0
/Cigarette_Companies_Investing_in_Snus,200,52,36,52,36,true
/Brian_Monteith,200,18,14,18,14,true
/Kenya-_Country_Profile,200,100,71,100,71,true
https://tobaccotactics.org/wiki/Category:Third-Party-Techniques,404,0,0
https://tobaccotactics.org/wiki/Category:Think-Tanks,404,0,0
/Snus:_EU_Ban_on_Snus_Sales,200,50,36,36,36,false
?title=Drago_Azinovic&amp;oldid=24065,200,6,3,0,0,false
/IEA,200,67,56,29,29,false
/BAT,200,60,51,17,9,false
/Mercury,200,27,19,20,20,false
https://tobaccotactics.org/wiki/Special:Search/Editor17,404,0,0
/Altria,200,81,58,90,66,false
https://tobaccotactics.org/wiki/Scottish-Grocers%27-Federation,404,0,0
/Foundation_for_a_Smoke-Free_World,200,107,83,148,118,false
/Futuro_Sin_Humo,200,11,9,11,9,true
https://tobaccotactics.org/wiki/Category:Leaked-Tobacco-Industry-Documents,404,0,0
/Uganda-_Country_Profile,200,36,31,36,31,true
/Shabanji_Opukah,200,5,5,5,5,true
/Yusuf_Abramjee,200,29,19,20,20,false
/Hiring_Independent_Experts,200,0,0,0,0,true
https://tobaccotactics.org/wiki/Kenya--BAT%27s-Tactics-to-Undermine-the-Tobacco-Control-Regulations,404,0,0
/Mueen_Afzal,200,7,6,6,6,false
?title=Philip_Morris_International&amp;redirect=no,200,72,64,0,0,false
http://178.128.58.116/index.php/Special:RecentChangesLinked/Main_Page,404,0,0
/Ogilvy_Group,200,46,43,44,44,false
/Global_Tobacco_and_Nicotine_Forum_2019,200,3,3,3,3,true
https://tobaccotactics.org/wiki/Special:WhatLinksHere/Main-Page,404,0,0
/Swiss_Diplomats_Lobbying_for_PMI,200,21,10,10,10,false
/Revolving_Door,200,1,1,1,1,true
/Foundation_for_a_Smoke-Free_World_Centres_of_Excellence,200,61,37,68,41,false
https://tobaccotactics.org/wiki/Category:Lobby-Groups,404,0,0
?title=Main_Page&amp;action=history,200,0,0,0,0,true
/Trade_Associations,200,21,20,20,20,false
/Third_Party_Techniques,200,9,9,9,9,true
/Global_Forum_on_Nicotine,200,48,33,68,49,false
/Property_Rights_Alliance,200,41,37,37,37,false
/Riccardo_Polosa,200,57,40,40,40,false
https://tobaccotactics.org/wiki/Main-Page,404,0,0
https://tobaccotactics.org/wiki/TobaccoTactics:General-disclaimer,404,0,0
/RJ_Reynolds,200,8,7,7,7,false
/Eddy_Abdurrachman,200,6,4,6,4,true
https://tobaccotactics.org/wiki/TobaccoTactics:Privacy-policy,404,0,0
https://tobaccotactics.org/wiki/The-TaxPayers%27-Alliance,404,0,0
/General_Disclaimer,200,0,0,0,0,true
/Forest,200,51,47,47,47,false
?title=Main_Page&amp;action=edit,200,0,0,0,0,true
?title=Main_Page&amp;printable=yes,200,0,0,0,0,true
https://tobaccotactics.org/wiki/TobaccoTactics:About,404,0,0
/European_Cigar_Manufacturers_Association,200,30,27,26,26,false
?title=Main_Page&amp;oldid=24067,200,0,0,0,0,true
/The_Freedom_Association,200,11,11,11,11,true
