start_words,end_words,words_hash,ref_text,ref_name
its funders.,Other supporters,its funders. Other supporters,"<ref name=supporters>Factasia, [https://web.archive.org/web/20190701085944/https://www.factasia.org/our-supporters/ Our Supporters], website, undated, accessed July 2019</ref>",supporters
"firm Altria,",most recently,"firm Altria, most recently","<ref name = guardian>[https://web.archive.org/web/20190709135715/https://www.theguardian.com/world/ng-interactive/2019/jan/23/free-market-thinktanks-tobacco-control-polices-database Think tank database], ""Guardian"", 23 January 2019, accessed July 2019</ref>",guardian
in 2018.,| '''American,in 2018. | '''American,"<ref name=altriaeight>Altria, [https://web.archive.org/web/20190527134652/https://www.altria.com/Responsibility/Investing-In-Communities/Documents/GranteesList.pdf Altria Grantees List], website, undated, accessed July 2019</ref>",altriaeight
2011 to2018.,One of,2011 to2018. One of,"<ref name=altriaeight/> It has testified on behalf of IQOS before the the Food and Drug Administration  (FDA)and argued that tobacco taxes cause crime.<ref>R.Bate, [https://www.aei.org/publication/pakistans-tobacco-tax-folly/ Pakistan’s tobacco folly], website, 21 June 2018, accessed July 2019</ref>",altriaeight
July 2019</ref>,| [[Competitive,July 2019</ref> | [[Competitive,"<ref name=pra>[https://www.propertyrightsalliance.org/wp-content/uploads/2018/03/2018-Global-Plain-Packaging-Coalition-to-WHO.pdf Open Letter]  ""Property Rights Alliance"", 2018, accessed July 2019<</ref>",pra
to 2018.,|- |,to 2018. |- |,"<ref name=altriaeight/><ref name=guardian/> In 2015, then President John A Charles Jr testified before the state Senate that tobacco users had paid “more than their fair share” and did not deserve more taxes.<ref>State Leigislature, [https://olis.leg.state.or.us/liz/2015R1/Downloads/CommitteeMeetingDocument/52548 Testimony], website, 11 March 2015, accessed July 2019</ref>",altriaeight
industry funding,| '''Grassroot,industry funding | '''Grassroot,"<ref name = guardian/> and regularly campaigns against tobacco taxes and testified in favour of IQOS.<ref>FDA Hearing, [https://web.archive.org/web/20180821214811/https:/www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/TobaccoProductsScientificAdvisoryCommittee/UCM599235.pdf Transcript], p398, 25 January 2018, accessed July 2019</ref>",guardian
the 1990s.,has received,the 1990s. has received,"<ref name=IJHPM>J.Smith, S.Thompson and K.Lee, [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5716244/ The Atlas Network: a “strategic ally” of the tobacco industry], ‘’International Journal of Health Planning and Management, 28 April 2016, accessed July 2019</ref>",IJHPM
of IQOS,and editorialising,of IQOS and editorialising,"<ref name=testimony>FDA Testimony, [https://web.archive.org/web/20180821214811/https:/www.fda.gov/downloads/AdvisoryCommittees/CommitteesMeetingMaterials/TobaccoProductsScientificAdvisoryCommittee/UCM599235.pdf Transcript], 25 January 2018, accessed July 2019</ref>",testimony
several years,. |,several years . |,"<ref name=guardian/> and testified in favour of IQOS<ref name=testimony/>. Sal Nuzzo, vice president of policy at the Institute, has argued that regulations on e-cigarettes should be relaxed.<ref>S.Nuzzo and G.Bentley, [https://web.archive.org/web/20190722142148/https://www.jamesmadison.org/e-cigarettes-not-in-the-same-category-as-cigarettes/ E-cigarettes not in the same category as cigarettes],  ""Sun Sentinel"", 22 March 2019, accessed July 2019</ref>",guardian
from [[Altria]].,| '''MacIver,from [[Altria]]. | '''MacIver,"<ref name = guardian/> The center’s president, Andrew Cline, has argued that New Hampshire should not tax e-cigarettes as it does tobacco.<ref>A.Cline, [https://web.archive.org/web/20190722143044/https://jbartlett.org/2019/07/expanding-the-tobacco-tax-to-non-tobacco-products-is-bad-policy/ Expanding the tobacco tax to non-tobacco products is bad policy], website, 17 July 2019, accessed July 2019</ref>",guardian
of IQOS,It is,of IQOS It is,"<ref name=testimony/> and was considered a key ally of [[Philip Morris International]].<ref>Philip Morris, [https://www.industrydocuments.ucsf.edu/tobacco/docs/#id=zmmy0071 National Allies], ""Tobacco Industry Documents"", February 2000, accessed July 2019</ref>",testimony
and 2018,to lobby,and 2018 to lobby,"<ref name=PRAeighteen>PRA Letter 2018, [https://www.propertyrightsalliance.org/wp-content/uploads/2018/03/2018-Global-Plain-Packaging-Coalition-to-WHO.pdf Plain Packaging Coalition], undated, accessed July 2019</ref>",PRAeighteen
n 2017.,|'''Warsaw Enterprise,n 2017. |'''Warsaw Enterprise,"<ref name=PMImoney>PMI, [https://www.pmi.com/resources/docs/default-source/our_company/charitable-contributions-2017.pdf?sfvrsn=86a487b5_2 Charitable Contributions], undated, accessed July 2019</ref>",PMImoney
packaging legislation.,. In,packaging legislation. . In,"<ref name=PRAeighteen/>. It is known that [[Philip Morris International]] gave the Institute $25,000 in 2017<ref name=PMImoney/> and $30,000 in 2018.<ref>PMI, [https://www.pmi.com/resources/docs/default-source/our_company/charitable-2018.pdf?sfvrsn=d97d91b5_2 Charitable donations 2018], undated, accessed July 2019</ref>",PRAeighteen
2019 </ref>,. IDEA,2019 </ref> . IDEA,"<ref name=IDEA>The Guardian database of free market groups and tobacco industry, [https://web.archive.org/save/https://www.theguardian.com/world/ng-interactive/2019/jan/23/free-market-thinktanks-tobacco-control-polices-database#3/?institute-for-democracy-and-economic-affairs-(ideas) Institute for Democracy and Economic Affairs], 2019, accessed July 2019 </ref>",IDEA
